"","Grado","Sexo","Edad","Autoconsciencia","Eficacia","Persistencia","ApoyoEscuela","CoherenciaFam","Compañerismo","RegulaciónEmo","Empatía","ControlConducta","Optimismo","Entusiasmo","Gratitud"
"16",3,2,15,2.33333333333333,2.66666666666667,2,2.5,2,1,2.33333333333333,1.66666666666667,3,2.66666666666667,1,1.66666666666667
"17",3,1,15,3.33333333333333,4,3.33333333333333,3.66666666666667,4,3.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,4,4,4.66666666666667
"18",3,2,15,2.66666666666667,3,2.66666666666667,4,3.66666666666667,2.66666666666667,2,3,2.33333333333333,2.66666666666667,3.33333333333333,3.66666666666667
"19",3,1,16,2,2.66666666666667,1.33333333333333,2.66666666666667,2.66666666666667,1,2,2.66666666666667,2.66666666666667,2.33333333333333,2,2.33333333333333
"20",3,2,16,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3,3,3.33333333333333,3,3,4,4.66666666666667,4.33333333333333
"21",2,2,16,3.33333333333333,2.66666666666667,2.66666666666667,3.33333333333333,3.33333333333333,4,3.33333333333333,3.5,4,3,2,3
"22",3,2,16,3,2.66666666666667,3.33333333333333,3,3,1.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,3,2.33333333333333,3.33333333333333
"23",2,2,14,3,4,3,3.66666666666667,3.66666666666667,4,2.33333333333333,3,3.66666666666667,3.33333333333333,2.33333333333333,2.33333333333333
"24",2,2,14,3.33333333333333,3.33333333333333,2.33333333333333,3.66666666666667,2.66666666666667,1.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,3,4,3.66666666666667
"25",2,1,14,3,3.5,3.33333333333333,4,2.5,3.33333333333333,3.66666666666667,3,2.33333333333333,3.33333333333333,5,5
"26",1,1,13,3.33333333333333,4,4,4,3,3.66666666666667,3.33333333333333,4,4,4,5,4.66666666666667
"27",1,2,13,2,3.33333333333333,2.66666666666667,3.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.66666666666667,3,2.5,2
"28",1,1,13,4,4,4,4,4,4,3.66666666666667,4,4,4,4.66666666666667,4.33333333333333
"29",1,2,13,2.33333333333333,3,2.33333333333333,4,3.5,1.66666666666667,3,3,2,3.66666666666667,2.66666666666667,3.33333333333333
"30",1,1,15,3.66666666666667,3.66666666666667,3,3.66666666666667,3.33333333333333,4,3.66666666666667,2.66666666666667,3,4,5,5
"31",1,1,13,3.33333333333333,3.66666666666667,2.66666666666667,3.66666666666667,4,3,4,3,4,4,4,3.66666666666667
"32",1,1,13,2.66666666666667,3,3.66666666666667,4,3,2.33333333333333,2.33333333333333,3.66666666666667,3,3.66666666666667,4.66666666666667,3.66666666666667
"33",1,1,13,3.33333333333333,3,1.33333333333333,1.33333333333333,2.66666666666667,2,2.33333333333333,2.66666666666667,2,3.33333333333333,2.33333333333333,2.33333333333333
"34",1,2,13,3,3.66666666666667,3.33333333333333,4,3.33333333333333,2,3.66666666666667,4,2.66666666666667,2.66666666666667,3,4
"35",1,2,13,4,4,3.33333333333333,4,4,4,3.66666666666667,3.33333333333333,4,4,4.33333333333333,4.33333333333333
"36",1,2,14,4,3.5,3,4,4,4,3,4,3.33333333333333,4,5,4.33333333333333
"37",1,2,13,3.33333333333333,4,2.33333333333333,4,3.33333333333333,4,3.66666666666667,3.66666666666667,4,4,4,4.33333333333333
"38",1,1,13,3.66666666666667,4,4,4,4,3.66666666666667,3.5,3.66666666666667,3.33333333333333,4,5,4.66666666666667
"39",1,2,13,2,3,3,4,4,4,2.33333333333333,4,4,4,5,3
